Team Statistics:
Team,Median of Age,Mean of Age,Std of Age,Median of MP,Mean of MP,Std of MP,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Goals,Mean of Goals,Std of Goals,Median of Assists,Mean of Assists,Std of Assists,Median of Yellow Cards,Mean of Yellow Cards,Std of Yellow Cards,Median of Red Cards,Mean of Red Cards,Std of Red Cards,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls/90,Mean of Gls/90,Std of Gls/90,Median of Ast/90,Mean of Ast/90,Std of Ast/90,Median of xG/90,Mean of xG/90,Std of xG/90,Median of xGA/90,Mean of xGA/90,Std of xGA/90,Median of SoT/90,Mean of SoT/90,Std of SoT/90,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of Short%,Mean of Short%,Std of Short%,Median of Med%,Mean of Med%,Std of Med%,Median of KP,Mean of KP,Std of KP,Median of Passes 1/3,Mean of Passes 1/3,Std of Passes 1/3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of PrgoP,Mean of PrgoP,Std of PrgoP,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Att,Mean of Att,Std of Att,Median of Lost,Mean of Lost,Std of Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of TO Att,Mean of TO Att,Std of TO Att,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of ProgC,Mean of ProgC,Std of ProgC,Median of Carries 1/3,Mean of Carries 1/3,Std of Carries 1/3,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of ProgR,Mean of ProgR,Std of ProgR,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Won,Mean of Won,Std of Won,Median of Aerial Lost,Mean of Aerial Lost,Std of Aerial Lost
all,26.58,26.879676113360322,4.250709080133727,23.0,21.222672064777328,9.975985981037818,14.0,15.566801619433198,10.957163091573113,1337.0,1395.8663967611335,927.7990435855538,1.0,2.0303643724696356,3.548717602392066,1.0,1.508097165991903,2.219893283318498,2.0,2.9959514170040484,2.636147499018243,0.0,0.09109311740890688,0.3084371706992591,0.9,2.0491902834008098,3.1236176418767605,0.9,1.5161943319838056,1.8906144001431546,15.0,26.39676113360324,31.065468878296777,37.5,52.08906882591093,50.53113596356283,25.0,51.44331983805668,64.8220518308452,0.03,0.11995951417004048,0.18226543285205024,0.04,0.08951417004048583,0.12283899487906938,0.07,0.13301619433198383,0.15954553783129433,0.07,0.09665991902834008,0.10022276269928201,0.23,0.398582995951417,0.4653695081349406,456.5,560.6963562753036,465.5441328833956,80.15,79.23663967611337,8.285915959613735,2119.0,3319.1214574898786,3609.7364770151876,89.9,88.73765182186236,6.782605074346465,85.7,83.97611336032388,10.128975380908091,8.0,13.799595141700404,15.526928771561252,29.0,43.73886639676113,45.47734905878049,6.0,11.757085020242915,14.56738209494973,1.0,2.8097165991902835,4.370311364254871,37.5,52.08906882591093,50.53113596356283,21.0,32.28542510121458,32.58649762876319,1.795,2.071801619433198,1.4174438443350106,2.0,3.522267206477733,4.251060018321154,0.15,0.21275303643724694,0.22164814994519688,17.0,24.89676113360324,22.86328246837779,10.0,14.88663967611336,14.027476067752307,17.0,22.700404858299596,20.58326285541011,8.0,11.145748987854251,10.511416190522295,12.0,15.465587044534413,13.862766611805219,2.0,5.228744939271255,7.387170478005796,8.0,10.236842105263158,9.47820061851809,7.0,11.323886639676113,11.86521482293623,738.0,847.7894736842105,631.1617031697988,31.0,95.69635627530364,178.09168988748553,159.0,280.63157894736844,311.85415191019604,279.5,360.88663967611336,319.76469433007105,142.0,214.62955465587044,212.21508860265547,20.0,34.991902834008094,41.560873695524826,14.0,25.7834008097166,31.60705187082127,401.5,475.10526315789474,363.57796155770774,1039.5,1318.9716599190283,1109.3856235186463,15.0,26.39676113360324,31.065468878296777,13.0,17.763157894736842,18.435089209043824,2.0,8.222672064777328,14.459252817287213,13.0,19.257085020242915,19.7168779030626,8.0,13.334008097165992,14.916800271937527,483.5,554.9574898785426,426.4061004364582,25.0,51.44331983805668,64.8220518308452,12.0,15.680161943319838,13.96979250420843,10.0,15.204453441295547,14.940337750338069,1.0,2.4068825910931175,4.005375849799209,9.0,24.831983805668017,36.266006598412325,45.0,58.87044534412956,46.96590858239222,10.0,18.388663967611336,21.62268062662846,13.0,18.356275303643724,18.75556958775102
West Ham,28.34,28.622,5.015220167981993,20.0,21.56,8.529751852584381,14.0,15.4,10.862780491200215,1070.0,1381.52,914.3885078747071,0.0,1.48,2.6,1.0,0.96,1.5132745950421558,2.0,2.96,2.65329983228432,0.0,0.12,0.33166247903553997,1.2,1.776,2.254861414810232,1.1,1.26,1.40356688476182,11.0,22.92,30.36983152186832,31.0,45.0,41.31182235954578,25.0,44.64,57.791204636461195,0.0,0.084,0.12529964086141665,0.03,0.07440000000000001,0.13635370670918096,0.07,0.13720000000000002,0.15915191903754516,0.08,0.1008,0.09720768145230774,0.23,0.3836,0.4092358733053592,517.0,533.44,408.43543757449186,79.9,78.42,7.804966367640541,2531.0,3314.92,3124.906010853233,89.7,88.676,6.967859546996241,85.6,83.25200000000001,10.624700780100428,9.0,12.2,12.382783747337808,37.0,39.32,33.53445988829998,4.0,10.0,12.69514342836136,1.0,2.6,3.582364210034113,31.0,45.0,41.31182235954578,19.0,30.16,30.764806733235517,2.31,2.1908,1.4840426768346882,1.0,2.28,3.1953090617340916,0.1,0.1344,0.1664351725647757,17.0,23.6,20.816659994661325,11.0,14.0,12.328828005937952,21.0,19.68,15.691611347043574,8.0,9.24,7.7420927403383635,14.0,16.64,13.409822270758601,4.0,6.28,8.228608630868283,9.0,10.36,8.040936927166303,8.0,12.24,14.774076395272001,668.0,830.56,599.2430697694106,39.0,107.88,177.8879141482074,196.0,304.12,314.953478046097,366.0,355.88,288.75109235002617,118.0,178.52,184.73407012965063,23.0,30.88,38.860133813459775,11.0,28.8,45.46885380858711,321.0,421.8,318.0883001096813,714.0,1077.4,937.0678114914274,11.0,22.92,30.36983152186832,10.0,14.56,16.61846362734333,2.0,6.48,13.165991543872922,12.0,18.28,19.688236758701038,6.0,14.68,22.253688832790548,459.0,529.56,390.62184185390004,25.0,44.64,57.791204636461195,15.0,16.28,14.261019131417875,11.0,15.12,17.678423760807032,1.0,2.8,4.281744192888376,13.0,22.4,27.519689920733722,43.0,57.16,47.967593227094476,10.0,21.68,27.425231691515997,12.0,20.84,19.484352696458767
Southampton,26.98,26.978965517241384,4.225518856414125,20.0,18.655172413793103,10.37949854991961,13.0,13.241379310344827,9.840351229263666,1178.0,1184.3103448275863,856.2372878492552,0.0,0.8275862068965517,1.0713464664764276,0.0,0.5172413793103449,0.8289705171033532,2.0,2.8620689655172415,2.948657538743382,0.0,0.10344827586206896,0.40925259281898757,0.5,1.0724137931034483,1.3879317994062084,0.5,0.8103448275862071,0.9220880139220546,10.0,20.620689655172413,26.910451757506852,24.0,36.44827586206897,39.457559665776664,20.0,35.3448275862069,38.70610496519063,0.0,0.051379310344827595,0.07637894894776003,0.0,0.04310344827586207,0.09721491097694918,0.04,0.07758620689655173,0.08958855046480124,0.03,0.05448275862068966,0.058711534939697926,0.14,0.2158620689655172,0.28653742265414617,257.0,499.7931034482759,481.213523983922,80.2,80.85172413793103,8.160734415902565,1476.0,2735.4137931034484,3676.53043465518,90.9,89.59655172413792,7.08189254157696,89.5,85.36206896551724,10.849009625408982,5.0,8.827586206896552,9.449372486789198,13.0,32.241379310344826,39.483862139589746,5.0,7.0,7.764387566686396,1.0,1.8620689655172413,2.6011554840525677,24.0,36.44827586206897,39.457559665776664,15.0,20.03448275862069,20.125468510288663,1.37,1.405862068965517,0.8520585042010207,1.0,1.3793103448275863,1.8787114334687767,0.06,0.10758620689655173,0.14027155226340168,13.0,20.413793103448278,19.729450867347865,7.0,11.827586206896552,11.313926202179966,13.0,18.24137931034483,14.49545537749626,10.0,9.379310344827585,7.017395696733369,8.0,13.379310344827585,14.915030274150226,2.0,5.896551724137931,9.135272408113694,5.0,7.482758620689655,8.002770456246354,5.0,9.620689655172415,12.263225493620721,457.0,726.7931034482758,636.2733789872728,42.0,93.65517241379311,170.63940171812374,161.0,265.3448275862069,322.22610471775306,198.0,313.41379310344826,308.40204710750305,131.0,154.3448275862069,149.2857461050712,15.0,21.862068965517242,20.864741513463457,6.0,22.82758620689655,32.38172871666679,253.0,406.8965517241379,363.2547654615723,599.0,1101.344827586207,1119.5630294214304,10.0,20.620689655172413,26.910451757506852,9.0,15.241379310344827,18.795240986586002,1.0,5.103448275862069,7.5892067512553965,10.0,14.931034482758621,15.028380376766105,5.0,11.137931034482758,13.765184182076984,349.0,494.3448275862069,436.3488345563893,20.0,35.3448275862069,38.70610496519063,12.0,14.758620689655173,13.428794149709455,8.0,13.655172413793103,15.764507744725096,0.0,1.5172413793103448,2.6270663928633997,6.0,17.620689655172413,26.858642920061857,23.0,46.0,44.26059195266146,8.0,14.620689655172415,20.9172071904986,8.0,12.655172413793103,13.743247334259847
Everton,26.54,27.97863636363637,5.0329062847420145,24.0,22.40909090909091,9.28726260817722,15.0,17.454545454545453,10.649065564761887,1357.5,1565.2272727272727,904.2691830485297,1.0,1.5,2.132514723892674,1.0,1.0,1.1126972805283737,3.0,3.409090909090909,2.1747269321542944,0.0,0.09090909090909091,0.29424494316824984,1.1,1.7000000000000002,2.018957769788778,1.05,1.3000000000000003,1.1079797144438375,12.0,20.318181818181817,20.501768480365563,40.0,43.5,35.400766739073404,24.0,42.54545454545455,40.9433142082438,0.04,0.09363636363636361,0.13076862353191954,0.035,0.07545454545454545,0.09912605119732161,0.05,0.11136363636363637,0.12333830573807011,0.055,0.08045454545454546,0.06958908457970038,0.23500000000000001,0.36272727272727273,0.38039054890594964,428.5,473.5,339.25980352189424,74.15,74.57727272727274,7.898157218357167,2000.5,3533.3636363636365,4925.982208515853,86.45,85.33636363636363,7.5168094456640455,83.19999999999999,80.30000000000001,12.045785668894844,9.5,12.318181818181818,9.794976183817827,36.5,41.86363636363637,34.958881226712286,8.0,10.863636363636363,10.213415335422956,2.0,3.8181818181818183,5.359782899266791,40.0,43.5,35.400766739073404,25.5,29.40909090909091,19.353009095201735,1.76,1.880909090909091,1.0814888727204648,2.0,2.5454545454545454,2.086858489447321,0.11,0.18,0.17443787268988184,26.0,30.863636363636363,28.23590327519617,14.5,18.045454545454547,17.06144992645917,23.5,27.318181818181817,22.486792660489492,8.5,13.227272727272727,11.359626998327258,13.0,16.363636363636363,14.334591709585574,3.0,5.863636363636363,9.387405212484259,7.5,10.5,8.584315708923816,9.5,13.863636363636363,13.046785608670618,746.5,808.6363636363636,510.6739287175932,31.0,101.5,217.83146609029563,170.0,288.77272727272725,360.4804904328166,301.5,327.72727272727275,235.52781289977335,180.5,200.77272727272728,144.58674503503715,19.0,30.09090909090909,26.0346090003454,18.0,27.045454545454547,29.934018349454103,377.5,396.3636363636364,246.8148612980502,761.5,1053.909090909091,818.4768030043839,12.0,20.318181818181817,20.501768480365563,11.5,15.227272727272727,11.54259943563848,2.0,5.090909090909091,7.097344177387368,12.5,21.59090909090909,20.30167502099294,11.5,16.318181818181817,14.257450395315841,439.5,468.8636363636364,275.28708745504304,24.0,42.54545454545455,40.9433142082438,15.0,18.318181818181817,13.56952595458053,14.0,15.636363636363637,12.602136835229684,1.0,3.5,6.307591797644667,8.5,28.727272727272727,36.723136366448124,56.0,63.45454545454545,47.04276400278415,11.5,25.454545454545453,29.287942054428303,15.0,23.5,23.645698289943724
Manchester City,26.69,26.9996,4.913700642082299,23.0,19.88,8.973665174646682,17.0,15.36,8.625929901562305,1494.0,1381.36,766.2823065511387,1.0,2.64,4.414748010928823,0.0,1.92,2.5645012510557814,2.0,2.32,1.7492855684535902,0.0,0.04,0.2,1.3,2.5200000000000005,4.175424130153328,1.5,2.028,2.249355463238303,35.0,41.64,45.442161040161814,64.0,70.28,60.42179518462964,26.0,69.6,78.21764506810467,0.06,0.1784,0.24563998045920782,0.0,0.10200000000000001,0.1414213562373095,0.07,0.16080000000000003,0.2177904191342371,0.07,0.1164,0.12195900950729306,0.33,0.46360000000000007,0.5136704520734411,676.0,793.52,591.8990707882552,87.7,86.50400000000002,6.95680003066544,2604.0,3619.36,3290.534491537811,94.4,92.12800000000001,6.126072695182999,91.9,89.516,7.833990043394235,9.0,17.24,16.845573107891976,42.0,62.0,64.94548996402034,11.0,15.88,16.20267467632016,1.0,2.32,3.1717503054307414,64.0,70.28,60.42179518462964,33.0,39.76,33.9353306550366,2.08,2.3836,1.746314881877454,3.0,4.64,4.55411901469428,0.26,0.2756,0.2381015189647755,15.0,18.44,17.05891751157343,7.0,11.2,10.88959748261309,13.0,16.88,15.738276059763768,6.0,8.84,8.547319267856247,11.0,12.44,9.600694419328914,1.0,3.28,4.817675788178362,9.0,9.16,7.098591409568521,5.0,8.2,8.582928793055823,892.0,1033.8,699.0405925266429,39.0,78.52,139.2913971978648,197.0,241.56,242.91049105929258,331.0,447.28,395.86745677478126,324.0,353.4,278.85524918853514,22.0,48.52,51.759958784115476,21.0,29.68,41.02206723216176,590.0,664.68,466.34525121773606,1714.0,2051.96,1583.7090294621673,35.0,41.64,45.442161040161814,23.0,31.16,27.549470654321716,3.0,14.48,23.36863995471994,14.0,17.4,15.124483462254174,13.0,14.88,14.50953709346603,630.0,783.04,543.7994023534781,26.0,69.6,78.21764506810467,11.0,10.64,8.18474190185616,12.0,13.88,11.47214016650773,0.0,1.68,2.4617067250182343,8.0,23.6,32.247738938825876,46.0,53.0,35.29046141192641,5.0,11.12,13.488637193331776,8.0,11.96,11.11860302975753
Leicester City,26.755,27.221538461538465,4.462350674079922,21.5,20.23076923076923,9.717232907809475,15.0,14.807692307692308,9.968025805621616,1408.0,1329.1923076923076,824.5063016972408,0.0,1.1153846153846154,2.006527808467614,0.0,0.8461538461538461,1.189699380257305,2.0,3.1153846153846154,2.643133338701218,0.0,0.0,0.0,0.4,1.1846153846153844,2.171578652997364,0.4,0.9192307692307693,1.1405329388559475,15.0,21.03846153846154,22.97560579263279,30.5,38.84615384615385,34.95905297080264,20.0,38.26923076923077,40.63944654377831,0.0,0.06115384615384616,0.09778862604932838,0.0,0.056538461538461544,0.08574111301784262,0.045,0.0676923076923077,0.08585139217544197,0.025,0.06692307692307692,0.08132744829486444,0.21500000000000002,0.27499999999999997,0.2729725260900811,424.0,499.6923076923077,371.7056651955436,77.69999999999999,78.11153846153846,8.394823496563912,1940.0,3006.9615384615386,2927.591467138395,89.05,88.78076923076924,6.981175788118746,83.0,84.38846153846154,9.071375945161877,6.5,9.038461538461538,9.331584085162687,24.5,34.80769230769231,31.72004947129715,5.5,7.6923076923076925,8.446392038115354,1.0,2.4615384615384617,4.0122888154345935,30.5,38.84615384615385,34.95905297080264,15.5,20.884615384615383,18.817708517408644,1.325,1.3634615384615383,0.9827876365021786,1.0,1.9230769230769231,2.365131318520423,0.10500000000000001,0.12423076923076923,0.1428054082147613,21.5,25.846153846153847,22.301017569056903,12.0,15.076923076923077,13.531956479158737,18.5,24.653846153846153,21.708878013738634,10.0,12.807692307692308,11.86598240608583,16.5,17.73076923076923,14.001593315927133,4.0,6.769230769230769,8.199061860031023,9.0,10.961538461538462,8.655545132368125,9.5,11.76923076923077,11.907334520564012,756.0,776.4230769230769,523.4231307901417,34.0,101.46153846153847,167.5229490593407,149.0,284.0769230769231,284.71149229729707,325.5,353.61538461538464,278.4136601423252,104.0,146.15384615384616,134.96449675605575,15.5,22.423076923076923,24.625471490995785,11.5,22.884615384615383,27.055981849604976,445.0,440.88461538461536,286.6084893261994,1080.5,1097.0384615384614,748.8048333588256,15.0,21.03846153846154,22.97560579263279,8.0,13.192307692307692,12.441926637845862,2.5,5.038461538461538,6.276819380742251,13.0,17.26923076923077,15.759588046158292,9.0,11.615384615384615,13.050906246163668,478.5,495.2692307692308,329.8464561206996,20.0,38.26923076923077,40.63944654377831,13.5,14.461538461538462,10.882024698486102,12.0,13.461538461538462,11.903716291077403,1.0,2.269230769230769,4.911681523125801,9.5,22.615384615384617,27.965803293418087,42.0,53.0,37.728503813429974,12.0,17.923076923076923,16.96566668757365,15.5,20.03846153846154,17.86276746583411
Bournemouth,26.01,26.47521739130435,3.8393179668520405,26.0,22.217391304347824,10.180000543575314,17.0,16.695652173913043,11.632379505691295,1670.0,1494.608695652174,1004.3940615266696,1.0,2.347826086956522,3.5879684762496544,1.0,1.6956521739130435,2.0545909260769615,3.0,3.869565217391304,3.0793202884297664,0.0,0.08695652173913043,0.28810406552003043,1.1,2.6826086956521737,3.5771563330151,1.1,1.808695652173913,1.8742060242523695,19.0,29.869565217391305,34.65322279099552,43.0,58.47826086956522,52.052307227893714,31.0,57.65217391304348,71.61171101258647,0.03,0.13521739130434782,0.18007244918788032,0.04,0.10043478260869565,0.11451392376116482,0.08,0.1808695652173913,0.20232541393144277,0.1,0.12826086956521737,0.14858888291686634,0.15,0.5382608695652175,0.6496058397486688,436.0,504.7826086956522,408.761205742617,74.3,73.93043478260869,6.575673818401266,2372.0,3442.6521739130435,3477.6820860595644,88.0,86.84347826086957,7.089930509145059,78.3,81.62173913043479,10.801807783116638,11.0,17.782608695652176,16.55831711293899,37.0,48.21739130434783,47.725499684739844,7.0,13.217391304347826,13.869379358661526,2.0,4.043478260869565,5.530726245831021,43.0,58.47826086956522,52.052307227893714,28.0,40.78260869565217,36.34550931588152,2.35,2.5721739130434784,1.868110266654366,2.0,3.9565217391304346,4.1939161658674236,0.21,0.22826086956521738,0.20687396632893185,21.0,27.956521739130434,23.433616608449036,10.0,16.130434782608695,14.50800515021742,25.0,25.608695652173914,21.310985494969454,13.0,13.565217391304348,10.710343712999732,16.0,18.82608695652174,16.694180188733828,3.0,5.739130434782608,7.2627154407372005,8.0,13.08695652173913,12.641608943478749,10.0,14.391304347826088,15.622650020911603,783.0,852.4782608695652,626.5489801331807,44.0,90.26086956521739,153.4657845761495,159.0,257.30434782608694,280.4485748975297,316.0,365.95652173913044,322.8818357261635,133.0,239.7391304347826,238.20430829462043,19.0,39.52173913043478,48.082192474985796,16.0,27.08695652173913,32.48623910558587,483.0,458.3478260869565,342.4985213897283,1183.0,1442.0869565217392,1300.3993062637435,19.0,29.869565217391305,34.65322279099552,17.0,21.08695652173913,20.42706102537483,1.0,9.08695652173913,16.02813731444646,18.0,23.52173913043478,21.605701194607686,8.0,14.08695652173913,17.222905053968788,435.0,499.69565217391306,370.4772640285168,31.0,57.65217391304348,71.61171101258647,16.0,20.52173913043478,17.98451244118215,10.0,15.608695652173912,13.894862132309528,0.0,2.739130434782609,5.074153680479389,10.0,32.95652173913044,41.37245269375788,59.0,73.21739130434783,57.25378631523709,20.0,23.17391304347826,21.29586424618862,22.0,24.608695652173914,20.979945251758842
Brighton,24.53,26.042857142857144,5.171661282729218,21.0,19.535714285714285,10.035057595867647,10.0,13.75,10.127428835336973,929.5,1233.8214285714287,890.9927070230451,1.0,1.9642857142857142,2.999779533345284,1.0,1.3214285714285714,1.6113847605587088,2.0,2.6785714285714284,2.5970577572917,0.0,0.10714285714285714,0.314970394174356,0.75,1.910714285714286,2.643558108099664,1.0,1.3214285714285716,1.3985063839039513,18.5,26.357142857142858,30.01384160401144,40.0,49.785714285714285,50.207980141022105,27.0,49.464285714285715,62.59362299956474,0.045,0.1207142857142857,0.14892027624621398,0.035,0.09178571428571428,0.1313478156546529,0.09,0.1285714285714286,0.11850032929206586,0.08499999999999999,0.1025,0.07829786431030897,0.29500000000000004,0.44821428571428573,0.6493646671166141,343.0,517.2142857142857,488.97529719796813,80.55000000000001,79.32857142857142,8.156563235182071,1606.0,2976.214285714286,3909.3165392729206,90.3,89.52857142857144,6.1105771772520345,82.1,81.2642857142857,10.622276183697698,9.5,11.892857142857142,10.064014682739266,23.0,38.642857142857146,48.632571226771304,7.5,10.928571428571429,10.509003446528764,1.0,2.857142857142857,3.8172540616821102,40.0,49.785714285714285,50.207980141022105,24.0,29.964285714285715,23.638452889866862,2.8099999999999996,2.4699999999999998,1.219735854829051,3.0,3.5357142857142856,3.0121008155025826,0.28500000000000003,0.2978571428571429,0.27518824725734825,16.5,22.642857142857142,19.76194301009877,10.0,13.821428571428571,12.092402179723866,18.0,22.857142857142858,18.713659668837042,9.0,11.714285714285714,9.160531857667648,12.0,14.428571428571429,12.257812539518143,2.0,4.0,5.450110430413654,9.5,10.428571428571429,9.949608484493698,8.5,10.357142857142858,9.945087325145108,644.5,775.75,627.333665426763,23.5,85.67857142857143,197.215440303694,121.5,247.39285714285714,328.1287393336944,229.0,337.5,329.7354158176589,149.0,199.46428571428572,179.5109574996297,17.0,34.57142857142857,42.02770565148712,12.5,26.678571428571427,31.832959359558476,377.0,455.5,391.5661336696996,1092.0,1366.392857142857,1430.1862696421806,18.5,26.357142857142858,30.01384160401144,16.0,18.571428571428573,18.6238170321382,3.0,8.5,14.995060915243121,10.5,18.892857142857142,19.16079965414396,7.0,11.5,12.366322247375164,417.0,511.25,430.0699878443559,27.0,49.464285714285715,62.59362299956474,11.0,14.607142857142858,12.464287609344773,8.0,13.678571428571429,14.560356048324099,1.0,1.4642857142857142,1.835496559257908,10.0,22.535714285714285,27.83879805682489,40.5,53.07142857142857,44.24755994229016,12.0,17.25,18.542493739356477,11.0,15.678571428571429,14.81754108513028
Crystal Palace,27.19,27.179523809523804,3.134588451759619,30.0,24.047619047619047,10.632385388407394,19.0,18.238095238095237,12.87208126879551,1652.0,1633.047619047619,1082.8501039474704,0.0,1.9047619047619047,3.4044788427123747,1.0,1.5238095238095237,2.088517359732679,2.0,3.619047619047619,3.36862272265967,0.0,0.19047619047619047,0.40237390808147827,1.1,2.5523809523809526,3.4639022860957045,1.5,1.9142857142857144,2.12821185841206,11.0,21.714285714285715,22.71154520754336,47.0,50.142857142857146,39.50479175275541,11.0,49.61904761904762,64.75915085181104,0.0,0.08523809523809524,0.1301006936038024,0.03,0.060476190476190475,0.07896050851382548,0.08,0.1414285714285714,0.1406515451136501,0.11,0.10095238095238096,0.0740881071363523,0.34,0.490952380952381,0.46433721326106053,541.0,519.1904761904761,395.3220989329611,75.6,74.08095238095238,6.961653470808428,2248.0,3478.8571428571427,3560.9579790516245,84.5,84.29047619047618,6.461880899699776,81.1,79.82380952380952,10.531709489057546,9.0,16.142857142857142,16.227401869324968,27.0,38.714285714285715,32.31120990792956,4.0,11.952380952380953,12.749416419884442,1.0,3.0476190476190474,4.375799246722711,47.0,50.142857142857146,39.50479175275541,27.0,37.666666666666664,35.416568627315286,2.0,2.206666666666667,1.5029781546427523,3.0,3.619047619047619,3.4274799850063387,0.15,0.17285714285714285,0.16604646509766047,21.0,33.142857142857146,29.93540665213305,14.0,19.61904761904762,18.89305742985023,23.0,28.333333333333332,22.050699157471932,15.0,14.142857142857142,9.90598664589103,19.0,21.047619047619047,18.017980437541247,3.0,6.142857142857143,6.908586789537454,13.0,14.904761904761905,12.891488517253398,11.0,14.238095238095237,14.484145683832244,871.0,888.3333333333334,626.8676362146425,30.0,110.66666666666667,217.5197309058039,181.0,330.5238095238095,366.73745637003304,377.0,369.23809523809524,273.5370001959341,146.0,197.0952380952381,188.12519893993596,18.0,34.42857142857143,36.30643390443549,12.0,21.285714285714285,29.93015679401439,430.0,444.76190476190476,315.46186849790655,1004.0,1094.4761904761904,800.9814366792541,11.0,21.714285714285715,22.71154520754336,10.0,15.380952380952381,14.115509875580798,1.0,5.238095238095238,7.509359239673928,16.0,21.666666666666668,21.04835702218426,13.0,14.666666666666666,14.371267631400277,533.0,514.4285714285714,354.96261372552624,11.0,49.61904761904762,64.75915085181104,12.0,18.047619047619047,16.197148485076596,19.0,17.952380952380953,15.86655662226745,1.0,3.1904761904761907,4.9154760463158365,11.0,26.904761904761905,32.74279273657756,64.0,72.9047619047619,54.03601092040822,17.0,22.38095238095238,22.366216019872898,19.0,28.19047619047619,25.862364639798596
Fulham,28.83,28.827272727272728,3.350788367531242,27.0,24.5,9.328655290223212,17.5,17.454545454545453,11.496282101814575,1620.5,1568.2727272727273,963.243685818079,0.5,2.227272727272727,3.2649920612726087,1.0,1.9090909090909092,2.561790499391112,2.5,3.409090909090909,2.986622409999868,0.0,0.09090909090909091,0.29424494316824984,1.05,2.122727272727273,2.684866196574141,1.0,1.6272727272727274,1.8822938939045366,22.0,32.81818181818182,36.188180606164984,53.0,65.31818181818181,49.51804516069669,39.0,64.18181818181819,71.84085345475945,0.015,0.16136363636363638,0.23915118658139675,0.08499999999999999,0.10272727272727272,0.11695264887090878,0.085,0.1459090909090909,0.15067021985619836,0.085,0.10090909090909092,0.08111773283374346,0.26,0.5236363636363636,0.5700755626986191,652.0,678.5454545454545,508.4215280812273,81.65,80.42272727272729,7.950437653013754,2927.0,4099.227272727273,4375.884813185603,90.5,88.66363636363639,6.539079988772664,85.25,84.37727272727271,9.081741589751951,10.0,16.454545454545453,16.947333749357778,44.5,56.5,48.66185560042065,8.0,13.863636363636363,18.898968111275167,2.5,4.5,7.209451468467658,53.0,65.31818181818181,49.51804516069669,30.5,38.63636363636363,31.625103733382222,2.1950000000000003,2.5418181818181815,1.7431652555696229,3.0,4.136363636363637,4.2683269226495195,0.18,0.22863636363636364,0.1973948292502076,23.5,28.272727272727273,23.005551748554332,12.0,17.227272727272727,14.421979978266037,19.0,23.727272727272727,20.598617193953345,8.5,11.636363636363637,11.244238543934419,14.0,15.454545454545455,11.206831559056896,2.0,4.590909090909091,6.299350615882417,11.0,10.863636363636363,8.049226254121777,8.5,12.727272727272727,13.718884510330723,976.0,1000.6363636363636,689.4235373504547,26.5,109.04545454545455,236.86171920758753,155.5,334.95454545454544,397.40305523698265,388.5,412.1363636363636,324.87701635784543,209.0,264.1363636363636,227.07693167830348,32.0,39.04545454545455,38.11695944592902,18.5,26.818181818181817,27.093552850458835,533.5,590.0454545454545,418.937258317909,1222.5,1603.3636363636363,1309.0666811731082,22.0,32.81818181818182,36.188180606164984,18.0,23.272727272727273,23.41180373470942,4.5,9.227272727272727,11.156598808315058,14.5,21.227272727272727,18.29892481406078,8.0,11.545454545454545,11.677113442755378,632.5,671.6818181818181,460.80461579653684,39.0,64.18181818181819,71.84085345475945,15.5,17.954545454545453,14.297776293060643,15.5,14.954545454545455,11.004229804628473,1.0,1.8636363636363635,3.211518770590142,15.0,37.90909090909091,51.353962234957464,61.0,67.72727272727273,44.738586539374765,15.0,22.318181818181817,23.04113580954592,19.0,22.272727272727273,21.173167696474476
